height	age	age2	age3	age4
177.902841558685	50.59	50.59	49.807559000823	50.0506089159156
165.460117553253	42.94	42.94	43.8147715952379	45.4127374989107
198.997893915665	66.13	66.13	65.6826630672958	61.4742418356789
196.288817790749	60.1	60.1	60.6551619062796	61.9836962621904
141.84378118534	40.55	40.55	40.4744609129787	37.8526359803772
186.898304874044	53.96	53.96	55.2636780008922	58.0193031047201
140.272881043725	38.74	38.74	39.7293821149959	37.4143720196898
214.044435312716	69.81	69.81	68.6353409232174	79.2423305793285
150.582685601238	46.15	46.15	45.6148591106723	48.2539877142845
166.030257621139	48.95	48.95	48.2803651861237	45.9528801872603
121.013044016948	37.76	37.76	37.580858742371	28.2034209019574
180.727316069788	55.96	55.96	53.3572866675168	48.7984245948282
118.369681340281	35.5	35.5	36.183231581632	36.8431423045285
145.267705741675	41.88	41.88	41.3722959214787	44.2096864077559
186.476296408783	55.97	55.97	54.3857004684683	50.0961939700777
155.877217588796	43.69	43.69	44.5213888505448	43.7266818493016
145.487198911395	44.1	44.1	44.602883962144	56.0834044276277
174.558410098432	50.93	50.93	49.9113659761717	50.4901503470607
166.990658002308	54.17	54.17	53.210665674846	53.459923763526
215.146805369586	61.71	61.71	61.1998896868634	61.3888089033597
179.015092000286	49.66	49.66	51.5557078964424	52.8514676763667
189.977600250675	53.72	53.72	54.4295787823636	48.0664580677541
188.476668086923	56.48	56.48	56.2235647521925	58.7648200394272
181.847468914779	51.18	51.18	51.6747074755507	56.3157236856272
146.083727843537	40.76	40.76	40.6327004278227	38.5576254224481
189.80357819691	53.69	53.69	55.5715457316436	57.0055386236847
202.765906842146	58.73	58.73	59.0575652121851	55.2398823533154
166.113608200635	43.48	43.48	42.5692803473136	36.6471116082836
124.461147945371	39.13	39.13	39.030866623575	32.6767360973449
196.010137035342	57.25	57.25	57.6796023457203	60.707680639132
192.792293787926	54.44	54.44	55.5303605310949	52.4850627831314
187.715171658166	52.06	52.06	53.3450171361252	49.9851022345831
199.743945149363	53.13	53.13	53.5469813688478	49.2287632101232
167.338632445905	49.71	49.71	48.0021052081223	49.1972201294831
170.230105982985	50.25	50.25	49.2751667651749	49.6311731907813
124.933533002718	39.16	39.16	39.2378293563976	37.1754244106809
238.100570178698	71.66	71.66	71.0480677050948	65.7185388904069
139.781465220905	43.44	43.44	43.0401544700553	42.4491698868981
162.726164943332	49.81	49.81	50.37133774022	52.0533029940784
166.72406939956	47.74	47.74	48.0759972278704	44.7403618907474
126.495164827213	33.3	33.3	33.869932072468	35.0436913297619
141.855829570546	40.21	40.21	40.8203706706497	41.5922796238458
161.010173984994	47.98	47.98	46.9818588061204	46.0687039438469
205.993368540936	57.65	57.65	57.6415015417794	55.1532911671675
116.291824075115	33.84	33.84	35.0485482298132	31.8847164026927
194.690324161951	56.65	56.65	57.7440272196288	54.499623418011
194.041525454056	57.13	57.13	58.0167812632671	46.0624406947553
126.036411451742	35.69	35.69	35.5378196891387	37.8912151283155
199.084832127787	61.3	61.3	59.1459260391038	61.8053079379637
147.330930605403	44.65	44.65	42.4605156533323	33.9782359768513
217.336543010792	62.96	62.96	62.3568824925103	61.8263768060188
167.226291046533	50.2	50.2	49.8834381437448	50.9000045477969
147.193504235977	42.35	42.35	42.0090417655055	37.8659122758596
205.995887218976	63.11	63.11	64.7224212139029	59.2267379638602
168.456177363834	48.41	48.41	49.2308670784287	48.5154138236212
262.70725579789	79.49	79.49	79.2870024491206	79.3781855647301
141.600928722229	45.61	45.61	43.9805622042957	47.8991910823461
128.367268056182	41.61	41.61	42.1968490966177	40.2310721896129
194.351505247059	54.49	54.49	54.4283131965266	53.9490212010298
177.103266618992	54.35	54.35	54.1097810183011	45.316511079907
194.483310459509	58.71	58.71	61.0944936954785	63.333546812472
154.456174331017	45.1	45.1	42.9509957310762	39.0916879202625
157.357077329175	44.71	44.71	44.8525101279418	42.8592205152813
201.20469048779	55.07	55.07	53.7251882284344	52.2926005140638
155.003660456435	42.1	42.1	40.9605248677771	44.9195657786972
154.394749753273	47.31	47.31	47.9626401067757	53.5852994496685
173.628989445091	48.86	48.86	48.6661376641777	39.1427668668784
156.198302321046	44.79	44.79	45.1619029461785	42.774872990833
181.341876056435	49.45	49.45	50.9932659289406	47.6123738185956
186.003369792934	51.06	51.06	49.385397968837	54.5235397479268
158.701885074553	44.75	44.75	44.504033681159	53.2700612726084
106.357123422249	24.14	24.14	23.3858011279799	23.3584803937408
150.393525273427	42.17	42.17	43.2849764423677	41.6862770616306
223.320034221995	65.05	65.05	64.7419855061074	63.3089520017898
216.688204011171	60.69	60.69	61.7346327925401	63.2171244294675
176.119054530359	53.74	53.74	53.883478488761	48.8956927283129
202.576423034424	55.86	55.86	55.8499062651147	54.9340145233102
187.805840655585	57.51	57.51	55.3343753988101	55.2611992887687
123.99208271687	33.13	33.13	32.9972811891519	33.9626024033973
181.522915940381	55.26	55.26	57.056996456037	56.1804579559883
129.298133577442	37.72	37.72	37.2737280729121	32.3293582967676
160.292309480275	46.64	46.64	45.139430857775	51.1268492168181
216.053839897035	65.98	65.98	65.7224849424182	66.9525824255702
187.727112924441	57.81	57.81	57.132201788436	54.74167091018
157.071057909036	43.56	43.56	42.9169278757247	41.3868333452571
168.46691030371	46.87	46.87	47.3863920024177	36.2964830089575
120.057725967173	37.83	37.83	38.4585257288146	40.016760479904
201.98925895814	54.31	54.31	54.3321319549138	58.5288374048397
197.468260276098	63.76	63.76	63.5012200962673	63.6640197296278
146.982542591892	39.03	39.03	38.1198219499147	43.878644181989
203.354821282238	61.61	61.61	61.9466250392176	56.3348383550726
143.248845278539	49.19	49.19	49.80338161705	49.6523227974924
126.449881779833	31.82	31.82	32.0948993575067	28.7748137563933
165.032623974921	51.71	51.71	50.2999480475499	51.1673472766401
138.14996127713	39.51	39.51	40.3102071298546	37.8325267992218
189.910754100199	54.24	54.24	56.0517397043961	49.5109174691977
151.515609850218	39.13	39.13	39.0403191667053	36.4374550472618
160.771686021654	51.28	51.28	49.1271466067468	43.852718696288
171.427298388714	53.62	53.62	54.6610517503172	55.431654349783
181.499843585455	50.35	50.35	49.8332955076308	56.8136438651978
